Eddard,Stark,Ned@westeros.net,Research & Development,100,168
Benjen,Stark,ColdHands@westeros.net,Auditing,601,168
Catelyn,Stark,Mother@westeros.net,Human Resources,302,137
Arya,Stark,A_Girl@westeros.net,Research & Development,103,107
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,176
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,128
Bran,Stark,TheRaven@westeros.net,Research & Development,106,116
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,161
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,107
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,174
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,191
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,128
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,195
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,177
Renly,Baratheon,SummerKing@westeros.net,Sales,514,119
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,103
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,121
