Eddard,Stark,Ned@westeros.net,Research & Development,177
Benjen,Stark,ColdHands@westeros.net,Auditing,671
Catelyn,Stark,Mother@westeros.net,Human Resources,334
Arya,Stark,A_Girl@westeros.net,Research & Development,119
Robb,Stark,YoungWolf@westeros.net,Research & Development,113
Sansa,Stark,LittleDove@westeros.net,Research & Development,145
Bran,Stark,TheRaven@westeros.net,Research & Development,129
Rickon,Stark,Shaggydog@westeros.net,Research & Development,184
Jon,Snow,TheGhostBrother@westeros.net,Auditing,691
Tyrion,Lannister,TheImp@westeros.net,Accounting,454
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,429
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,486
Robert,Baratheon,TheUsurper@westeros.net,Sales,562
Stannis,Baratheon,ThePromised@westeros.net,Sales,567
Renly,Baratheon,SummerKing@westeros.net,Sales,517
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,293
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,290
